program,interference,value,color
blackscholes, cpu,1.2620869564824508,green
blackscholes, l1d,1.2230564378278947,green
blackscholes, l1i,1.3001240561986123,YellowOrange
blackscholes, l2,1.2595921240189032,green
blackscholes, llc,1.3976308810762605,YellowOrange
blackscholes, membw,1.2903587225682307,green
canneal, cpu,1.1978057072100576,green
canneal, l1d,1.2288771252940534,green
canneal, l1i,1.3210863089922462,YellowOrange
canneal, l2,1.280866420087666,green
canneal, llc,1.7241628939657139,YellowOrange
canneal, membw,1.5282880256947902,YellowOrange
dedup, cpu,1.469560601940432,YellowOrange
dedup, l1d,1.2286432653705563,green
dedup, l1i,1.558020509341949,YellowOrange
dedup, l2,1.2257451239488664,green
dedup, llc,1.6517675595057986,YellowOrange
dedup, membw,1.6580884934631144,YellowOrange
ferret, cpu,1.9078342380617956,YellowOrange
ferret, l1d,1.1381988956490054,green
ferret, l1i,2.1016881863890866,red
ferret, l2,1.1714424917973192,green
ferret, llc,2.280180550746765,red
ferret, membw,2.269577999397175,red
freqmine, cpu,1.9460861278592478,YellowOrange
freqmine, l1d,1.1816446704564534,green
freqmine, l1i,1.972836560737236,YellowOrange
freqmine, l2,1.1752992741521278,green
freqmine, llc,1.719461583314673,YellowOrange
freqmine, membw,1.6805892541387983,YellowOrange
radix, cpu,1.0616379891600838,green
radix, l1d,1.071168879869903,green
radix, l1i,1.0680307001431653,green
radix, l2,1.0811041895767026,green
radix, llc,1.28421042206259,green
radix, membw,1.1096003373953225,green
vips, cpu,1.5555591885436932,YellowOrange
vips, l1d,1.5591902371348525,YellowOrange
vips, l1i,1.497699536258101,YellowOrange
vips, l2,1.5594165715753967,YellowOrange
vips, llc,1.7902864345435592,YellowOrange
vips, membw,1.785847099760371,YellowOrange
