program, interference, value, color
blackscholes, cpu, 1.24870466321243523316, green
blackscholes, l1d, 1.13644214162348877374, green
blackscholes, l1i, 1.26597582037996545768, green
blackscholes, l2, 1.19343696027633851468, green
blackscholes, llc, 1.31951640759930915371, YellowOrange
blackscholes, membw, 1.29533678756476683937, green
canneal, cpu, 1.22719703977798334875, green
canneal, l1d, 1.21646623496762257169, green
canneal, l1i, 1.22867715078630897317, green
canneal, l2, 1.23200740055504162812, green
canneal, llc, 1.68880666049953746530, YellowOrange
canneal, membw, 1.49990749306197964847, YellowOrange
dedup, cpu, 1.47816172601298017891, YellowOrange
dedup, l1d, 1.22323568964509150441, green
dedup, l1i, 1.59246915745775594924, YellowOrange
dedup, l2, 1.17932526457346664327, green
dedup, llc, 1.68134245454013915687, YellowOrange
dedup, membw, 1.69297784014500380050, YellowOrange
ferret, cpu, 2.03029436981994855673, red
ferret, l1d, 1.15404401257502143469, green
ferret, l1i, 2.14432695055730208631, red
ferret, l2, 1.17490711631894827093, green
ferret, llc, 2.33923978279508430980, red
ferret, membw, 2.31609031151757645041, red
freqmine, cpu, 1.98758822097834022876, YellowOrange
freqmine, l1d, 1.19469457288878072523, green
freqmine, l1i, 2.04185933317108785592, red
freqmine, l2, 1.20540277439766366512, green
freqmine, llc, 1.78972986128011681674, YellowOrange
freqmine, membw, 1.74835726454125091263, YellowOrange
radix, cpu, 1.06205965386031668098, green
radix, l1d, 1.08140419786424450718, green
radix, l1i, 1.06213330060144838590, green
radix, l2, 1.07116730084693752301, green
radix, llc, 1.29669817110592856266, green
radix, membw, 1.11341598134282557996, green
vips, cpu, 1.57810672785138035674, YellowOrange
vips, l1d, 1.59174006365183924209, YellowOrange
vips, l1i, 1.51008807638220709051, YellowOrange
vips, l2, 1.58510843016801125009, YellowOrange
vips, llc, 1.91103545259418251794, YellowOrange
vips, membw, 1.82643771741543927170, YellowOrange
