program, interference, value, color
blackscholes, cpu, 1.31958762886597938144, YellowOrange
blackscholes, l1d, 1.25429553264604810996, green
blackscholes, l1i, 1.32474226804123711340, YellowOrange
blackscholes, l2, 1.19759450171821305841, green
blackscholes, llc, 1.28006872852233676975, green
blackscholes, membw, 1.31099656357388316151, YellowOrange
canneal, cpu, 1.21379191151054268924, green
canneal, l1d, 1.27169028689941237469, green
canneal, l1i, 1.47113722779122018665, YellowOrange
canneal, l2, 1.36087106809540269616, YellowOrange
canneal, llc, 1.62530245419979260283, YellowOrange
canneal, membw, 1.39491876944348427238, YellowOrange
dedup, cpu, 1.47148378030214310809, YellowOrange
dedup, l1d, 1.23363391497833469961, green
dedup, l1i, 1.56025295702072842253, YellowOrange
dedup, l2, 1.22684155053284927977, green
dedup, llc, 1.65721981496662372643, YellowOrange
dedup, membw, 1.66219697856891907717, YellowOrange
ferret, cpu, 1.91671087533156498673, YellowOrange
ferret, l1d, 1.12679045092838196286, green
ferret, l1i, 2.16180371352785145888, red
ferret, l2, 1.16100795755968169761, green
ferret, llc, 2.16127320954907161803, red
ferret, membw, 2.11724137931034482758, red
freqmine, cpu, 1.99617773530817009077, YellowOrange
freqmine, l1d, 1.21189679885332059245, green
freqmine, l1i, 1.98160535117056856187, YellowOrange
freqmine, l2, 1.18872431915910176779, green
freqmine, llc, 1.76301958910654562828, YellowOrange
freqmine, membw, 1.69732441471571906354, YellowOrange
radix, cpu, 1.06010004413711931734, green
radix, l1d, 1.07093815899171202981, green
radix, l1i, 1.06929527732823304398, green
radix, l2, 1.07454269040262861066, green
radix, llc, 1.27850522289245255259, green
radix, membw, 1.10558579765582855181, green
vips, cpu, 1.56547953302792965863, YellowOrange
vips, l1d, 1.57869070489138466085, YellowOrange
vips, l1i, 1.51637357765627308999, YellowOrange
vips, l2, 1.57511452637801093542, YellowOrange
vips, llc, 1.78602039308408452785, YellowOrange
vips, membw, 1.80143342692478203044, YellowOrange
