Found clients: client-agent-a-bmx7 client-agent-b-046c client-measure-24f7
Connect to  via ssh
Connect to client-measure-24f7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      218.9    90.0    86.8   133.6   145.3   204.7   235.2   253.8   267.6   283.5   303.9   336.8   425.3  1064.8  3088.8  29981.2    30000  1745417171839  1745417181991
read      226.7   167.5    86.8   134.4   145.5   204.4   234.6   253.2   267.3   284.1   306.5   343.3   574.8  2331.0  6167.4  30027.0    30005  1745417183504  1745417193641
read      236.2   200.1    93.8   135.0   146.4   208.6   241.5   261.9   276.4   294.8   318.2   358.5   703.0  3135.6  6102.0  30007.9    30010  1745417195153  1745417205256
read      225.1   179.5    86.8   131.9   142.7   201.5   231.6   249.5   263.1   279.1   300.2   337.0   560.5  2940.5  5335.0  29984.3    30015  1745417206768  1745417216869
read      231.9   184.4    80.4   132.6   144.2   208.4   241.4   261.2   275.1   293.0   315.8   353.9   553.7  3142.2  6165.5  30002.8    30020  1745417218383  1745417228487
read      214.0   129.6    86.8   130.2   140.6   197.0   226.5   243.9   256.7   272.2   292.2   322.3   421.1  2082.1  4397.4  29998.7    30025  1745417229999  1745417240100
read      227.2   171.9    86.8   132.7   143.8   205.5   237.5   257.0   271.1   288.1   310.2   344.4   489.1  2970.0  5889.7  30047.2    30030  1745417241613  1745417251724
read      225.5   154.5    86.8   133.5   144.8   206.3   238.0   257.2   271.0   287.9   309.7   342.9   464.8  2367.4  6097.9  30008.1    30035  1745417253237  1745417263354
read      218.2   149.8    86.8   131.2   141.7   199.7   229.9   248.0   261.4   276.4   296.4   329.6   434.1  2292.2  5952.6  30080.2    30040  1745417264869  1745417274971
read      225.8   189.9    86.8   131.0   141.9   202.4   234.2   253.4   267.8   284.9   307.2   342.4   501.7  3189.5  7346.3  30041.9    30045  1745417276482  1745417286589
read      217.6   144.4    86.8   130.8   141.3   199.7   229.9   248.1   261.8   277.5   298.0   331.2   426.6  2214.9  6140.5  30088.0    30050  1745417288102  1745417298202
read      212.9   131.3    86.8   129.5   139.6   196.1   225.6   243.0   255.8   271.4   291.7   322.6   421.9  2009.0  5224.3  30071.9    30055  1745417299714  1745417309812
read      214.8   122.2    86.8   130.0   140.6   197.8   228.0   246.0   259.4   274.9   295.2   327.2   423.9  1909.4  3958.1  30028.6    30060  1745417311324  1745417321427
read      229.9   186.2    86.8   133.5   144.8   206.5   237.5   256.3   270.4   287.6   309.9   345.6   557.4  2820.4  6288.4  30043.4    30065  1745417322940  1745417333062
read      218.4    94.0    86.8   132.0   144.5   205.4   235.4   253.6   267.0   282.4   302.0   333.7   412.1  1162.6  3319.6  29970.8    30070  1745417334575  1745417344681
read      218.4    84.6    86.8   133.7   145.4   205.9   236.3   255.2   268.7   284.6   304.7   335.9   403.5   832.6  3041.0  29992.6    30075  1745417346194  1745417356306
read      214.5    83.9    86.8   130.5   142.5   202.8   232.7   250.7   263.7   278.2   297.1   327.7   396.4   819.5  3113.0  29975.9    30080  1745417357819  1745417367922
read      216.5    92.4    86.8   129.6   141.6   203.3   234.6   253.3   267.0   282.9   303.4   335.6   404.5  1054.1  3169.5  30092.8    30085  1745417369435  1745417379538
read      218.5   132.0    86.8   131.9   144.4   205.5   236.0   254.7   268.3   284.1   304.2   335.3   402.2   817.6  4065.2  30149.5    30090  1745417381048  1745417391154
