#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      206.1    77.5    86.8   138.8   151.5   202.2   218.4   227.9   233.9   242.8   253.3   272.0   322.2  1086.6  3173.2   4985.0     5000  1745250281133  1745250286391
read      218.2   109.5    86.8   139.9   155.4   214.5   233.5   244.6   252.0   261.7   272.7   292.2   338.0  1099.0  5524.8  10071.0    10000  1745250287895  1745250293136
read      221.0    71.8    80.4   133.7   149.5   219.9   241.9   253.8   263.3   273.2   287.9   309.4   357.4   531.5  3112.9  14996.2    15000  1745250294640  1745250299840
read      229.0    67.8    80.4   133.5   148.4   228.2   253.8   267.9   277.4   289.9   305.2   328.3   378.9   522.3  1668.6  20004.6    20000  1745250301344  1745250306541
read      230.7    86.5    68.9   128.6   142.8   229.9   259.2   273.9   285.2   296.8   313.4   337.9   389.5   499.8  3112.1  25009.3    25000  1745250308046  1745250313246
read      233.7    85.1    80.4   124.2   138.3   233.0   265.6   282.4   294.0   308.0   324.2   349.6   401.6   506.0  2634.4  29995.3    30000  1745250314749  1745250319950
read      237.0    82.0    74.4   123.1   136.7   235.5   272.5   291.1   303.9   318.0   336.7   363.6   415.3   534.7  1845.8  34902.8    35000  1745250321454  1745250326655
read      236.5    89.1    80.4   120.0   133.0   233.2   274.0   294.4   308.5   323.8   343.4   371.7   426.8   508.4  1988.4  39925.4    40000  1745250328159  1745250333362
read      237.5    92.8    74.4   120.2   132.8   230.7   275.9   298.2   313.0   329.6   349.0   378.1   435.9   566.0  1441.6  45003.2    45000  1745250334866  1745250340066
read      236.3    92.5    74.4   116.8   129.1   228.2   275.7   300.0   316.0   334.1   355.9   387.1   444.3   559.1  1850.3  50041.8    50000  1745250341569  1745250346769
read      237.2    98.9    74.4   115.2   127.2   225.9   276.7   302.8   319.9   339.5   362.6   395.1   461.4   612.8  2342.4  55035.8    55000  1745250348273  1745250353472
read      238.1   102.5    74.4   115.2   127.2   224.1   277.2   304.5   322.4   343.1   368.2   401.8   469.8   660.7  2524.0  59957.8    60000  1745250354976  1745250360175
read      238.4   105.0    68.9   113.3   125.0   223.7   278.3   307.0   326.2   347.4   372.9   408.3   482.2   630.7  1766.9  65045.6    65000  1745250361678  1745250366881
read      234.7    96.5    80.4   114.0   125.4   217.0   272.0   302.3   322.4   344.5   370.6   404.5   476.6   587.7  1283.7  69980.5    70000  1745250368384  1745250373586
read      235.5   113.0    74.4   112.7   123.6   215.4   271.3   303.0   324.0   346.8   373.8   412.4   497.9   739.9  3693.7  75092.4    75000  1745250375090  1745250380289
read      236.7   107.0    74.4   111.8   122.7   216.1   274.8   307.5   329.3   353.0   380.5   419.4   500.6   663.0  2254.1  79829.0    80000  1745250381793  1745250386993
read      234.8   107.0    74.4   112.6   123.4   210.6   269.6   303.5   326.5   352.0   381.5   423.6   508.8   660.8  1590.6  85077.4    85000  1745250388497  1745250393699
read      237.6   115.1    74.4   112.8   123.9   211.5   271.9   307.8   331.8   357.9   388.0   430.6   519.8   682.8  2697.7  89867.1    90000  1745250395202  1745250400406
read      237.3   107.4    74.4   112.3   123.7   211.2   271.8   308.4   332.8   359.3   389.6   432.0   520.5   644.9  1770.7  94849.2    95000  1745250401910  1745250407111
read      244.3   115.5    74.4   114.4   126.7   216.3   278.4   315.8   341.3   368.9   400.4   450.4   548.6   712.7  1974.4  99925.2   100000  1745250408614  1745250413816
read      243.1   126.2    68.9   114.2   126.2   210.9   273.9   314.4   341.9   371.0   403.5   455.7   559.3   737.0  4234.5 104998.2   105000  1745250415320  1745250420522
read      257.0   131.8    74.4   118.8   131.6   219.5   286.4   331.8   362.6   395.0   434.6   494.9   624.3   838.1  2218.2 110117.2   110000  1745250422026  1745250427227
read      272.2   157.8    74.4   120.4   133.8   222.1   294.8   353.0   391.9   433.1   482.1   555.2   719.2  1087.8  3007.4 115305.6   115000  1745250428731  1745250433933
read      289.3   161.7    74.4   124.8   139.4   239.2   323.7   379.0   416.1   458.1   508.7   585.8   743.4  1008.3  2363.6 120275.2   120000  1745250435437  1745250440640
