#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      163.4    79.3    74.4   115.8   123.5   156.7   169.6   177.0   182.6   188.7   198.9   215.9   282.3   977.4  3054.4   4970.8     5000  1745494363546  1745494368800
read      175.5    58.8    74.4   114.8   127.2   171.6   187.0   196.1   201.8   210.6   220.8   238.6   294.6   901.8  2197.5  10027.6    10000  1745494370304  1745494375542
read      184.2    64.6    74.4   111.1   123.7   181.4   199.9   210.3   217.2   226.6   237.0   257.1   321.0   884.1  2237.4  15009.6    15000  1745494377046  1745494382243
read      194.1    86.3    68.9   107.6   120.4   192.0   213.7   225.2   232.9   243.2   255.5   276.2   337.5   985.3  3234.6  19981.2    20000  1745494383746  1745494388947
read      206.5   100.8    68.9   109.0   121.3   203.2   229.3   242.8   252.3   264.2   278.3   305.1   399.7  1163.8  2362.3  24915.4    25000  1745494390451  1745494395651
read      207.9    71.0    63.8   106.0   117.9   208.6   237.3   252.1   262.6   273.6   290.0   314.9   373.4   591.1  1091.0  30088.4    30000  1745494397153  1745494402352
read      214.1    94.7    63.8   103.3   114.4   211.3   244.9   261.9   273.2   288.3   307.5   339.1   432.6   948.5  2656.1  35039.6    35000  1745494403857  1745494409058
read      207.6    85.4    68.9   103.1   113.5   201.8   238.1   256.8   269.6   285.5   306.3   338.6   417.9   581.1  2994.1  39988.9    40000  1745494410562  1745494415760
read      209.7    97.8    63.8   101.5   111.7   204.0   242.6   261.4   273.5   289.0   308.1   336.8   415.3   967.9  2765.5  45186.4    45000  1745494417264  1745494422467
read      208.8    90.7    68.9   101.7   111.7   202.3   243.0   263.3   276.4   293.0   312.9   341.5   401.9   558.3  2565.9  49995.0    50000  1745494423971  1745494429170
read      214.7   116.0    63.8   100.6   110.6   204.7   248.2   269.4   284.1   300.6   320.5   354.2   442.0  1534.8  3312.6  55023.0    55000  1745494430675  1745494435882
read      213.0    90.3    63.8    98.9   109.1   203.8   249.5   272.1   288.1   306.0   327.7   362.1   444.6   677.7  1543.4  60138.8    60000  1745494437386  1745494442584
read      214.6   113.4    63.8    98.5   108.6   201.1   248.3   272.2   289.4   308.9   332.4   367.7   457.3  1149.6  3608.1  64757.3    65000  1745494444088  1745494449290
read      218.6   100.3    63.8    98.0   108.3   207.7   256.6   281.4   299.1   318.4   342.1   377.2   463.2   847.9  2165.1  70126.6    70000  1745494450794  1745494455993
read      214.0   100.3    68.9    98.3   108.1   199.4   249.1   275.3   294.2   315.2   339.9   374.5   456.5   720.4  2183.9  74975.6    75000  1745494457496  1745494462695
read      223.9   123.0    63.8    98.4   108.8   206.5   260.2   288.4   308.0   330.0   356.9   397.5   506.9  1118.1  4087.8  80114.6    80000  1745494464200  1745494469399
read      221.6   115.2    63.8    98.1   108.3   205.5   259.5   288.4   308.4   330.3   357.0   396.0   483.0   716.8  3427.7  84924.4    85000  1745494470902  1745494476104
read      224.5   110.5    63.8    99.5   109.5   201.6   259.8   292.4   315.2   340.6   371.1   417.1   519.7   744.5  2427.4  90020.4    90000  1745494477608  1745494482806
read      224.3   115.2    63.8    98.8   108.9   201.8   259.9   292.7   315.2   339.7   369.0   412.4   509.6   971.6  2408.4  95248.8    95000  1745494484309  1745494489509
read      239.1   139.1    63.8   103.0   113.9   209.4   271.9   308.8   334.2   362.8   397.6   454.2   599.3  1233.5  3901.9 100126.0   100000  1745494491012  1745494496211
read      231.1   114.2    63.8   102.3   112.8   203.8   265.2   301.8   327.4   355.5   388.9   435.5   540.6   720.9  1853.4 105048.2   105000  1745494497714  1745494502917
read      247.2   176.0    63.8   105.4   116.3   204.4   271.2   316.5   347.7   382.4   424.0   487.8   669.1  1802.0  5762.0 109931.0   110000  1745494504421  1745494509623
read      242.6   130.3    68.9   105.0   116.0   203.6   270.9   317.6   349.9   384.8   425.9   486.4   619.5   858.5  1770.1 114881.9   115000  1745494511128  1745494516327
read      248.9   139.5    68.9   109.2   120.5   207.2   273.4   321.7   355.6   392.1   434.6   501.3   646.1  1046.1  2707.4 119724.8   120000  1745494517832  1745494523032
read      241.8   140.1    68.9   107.3   118.8   204.4   264.9   305.4   334.6   367.7   407.6   471.4   659.3  1390.6  3213.0 125124.0   125000  1745494524536  1745494529736
read      421.4   407.9    74.4   130.0   146.7   251.5   340.1   482.9   641.9   813.9  1025.5  1282.0  1743.9  3080.5  7301.4 129431.0   130000  1745494531240  1745494536439
read      481.9   522.2    74.4   146.8   169.0   253.3   302.7   376.4   736.0  1213.2  1365.8  1502.4  2285.9  3602.5  7771.8 129393.2   135000  1745494537943  1745494543142
read      432.8   472.7    68.9   140.9   158.7   236.1   289.0   391.2   600.1   870.9  1172.3  1401.2  2229.7  3405.9  7784.0 137909.0   140000  1745494544645  1745494549846
read      486.3   549.8    74.4   144.5   167.2   253.3   298.4   367.6   707.2  1225.7  1373.4  1512.6  2485.6  4040.4  8098.8 132070.6   145000  1745494551349  1745494556551
read      514.8   631.2    74.4   146.8   169.4   268.1   310.8   354.6   561.7  1259.2  1420.8  1588.6  3298.7  4621.4  8045.1 126478.2   150000  1745494558055  1745494563256
read      517.3   596.1    74.4   149.8   173.9   270.6   316.7   374.2   746.7  1286.2  1426.2  1577.0  2898.7  4685.6  8010.8 126063.2   155000  1745494564759  1745494569958
read      484.4   587.9    63.8   146.4   168.3   247.1   289.9   343.9   550.5  1198.6  1375.6  1550.1  3075.0  4344.6  7991.2 134358.1   160000  1745494571461  1745494576661
read      484.3   619.4    68.9   147.4   167.6   248.6   291.2   333.5   456.9  1091.8  1362.7  1569.7  3244.1  5255.0  8098.6 134664.8   165000  1745494578165  1745494583365
read      500.4   651.5    68.9   146.7   169.1   256.9   300.4   343.4   447.7  1167.1  1380.8  1592.4  3318.9  5427.1  8081.2 130857.2   170000  1745494584869  1745494590071
read      487.1   600.6    74.4   150.2   172.1   250.2   292.4   341.7   521.7  1171.4  1367.1  1553.3  3070.7  4953.7  8020.2 133861.0   175000  1745494591575  1745494596777
read      493.9   622.1    68.9   148.8   169.9   252.0   296.2   343.7   505.4  1205.6  1385.3  1572.0  3178.5  4976.6  9188.8 132134.0   180000  1745494598280  1745494603480
read      492.2   635.1    74.4   148.2   171.6   251.9   290.2   328.6   440.2  1143.5  1376.0  1582.6  3294.2  5233.2  8064.4 132685.9   185000  1745494604983  1745494610187
read      482.6   567.4    68.9   153.0   173.7   251.2   296.0   361.8   606.0  1111.2  1351.6  1533.4  2753.7  4644.0  7986.1 134867.6   190000  1745494611690  1745494616889
read      505.3   659.8    74.4   148.2   171.9   260.1   299.6   338.1   426.2  1193.8  1401.1  1592.9  3347.6  5519.4  8086.9 129448.9   195000  1745494618393  1745494623594
read      452.8   524.4    74.4   148.2   166.1   234.9   274.6   331.4   559.4  1045.1  1322.7  1478.8  2433.4  3848.2  7975.7 143610.7   200000  1745494625099  1745494630296
read      458.5   617.4    68.9   149.2   167.4   235.7   272.6   310.4   395.3   807.6  1292.5  1532.6  3251.8  5133.2  8063.1 142394.3   205000  1745494631800  1745494637002
