#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      202.6    90.0    80.4   137.9   150.4   197.2   213.5   222.8   229.8   237.2   249.4   268.0   317.9   991.7  3847.7   4970.2     5000  1745247303404  1745247308665
read      209.9    63.3    86.8   138.7   153.2   206.7   224.6   233.7   241.4   250.3   262.6   281.5   331.3   934.0  2091.4   9978.4    10000  1745247310169  1745247315407
read      218.7    88.1    86.8   134.9   149.9   217.0   237.0   248.8   256.7   267.1   279.4   299.2   348.9   899.8  4149.3  15046.4    15000  1745247316911  1745247322113
read      220.5    63.8    80.4   131.0   144.5   221.3   244.6   256.7   265.9   275.0   289.6   310.2   353.5   457.1  1460.1  20001.2    20000  1745247323616  1745247328815
read      224.1    72.3    80.4   128.0   140.6   225.0   252.2   266.0   274.8   286.8   300.1   320.8   369.3   533.3  2302.4  24998.6    25000  1745247330319  1745247335518
read      229.6    84.9    80.4   124.7   137.9   230.3   261.7   276.7   287.7   299.2   315.3   339.7   393.2   500.0  2650.1  29893.4    30000  1745247337021  1745247342220
read      232.3    91.2    80.4   122.2   134.5   232.0   267.7   284.8   296.1   309.9   325.9   350.2   401.5   550.0  3080.0  35086.2    35000  1745247343723  1745247348923
read      230.5    92.5    74.4   118.9   130.8   228.8   268.1   286.8   299.2   313.7   331.6   358.7   412.5   530.8  2324.5  40078.4    40000  1745247350427  1745247355627
read      232.1    98.2    74.4   116.7   128.5   228.1   271.6   292.1   305.9   320.5   340.0   368.2   426.1   569.6  2556.6  44970.2    45000  1745247357131  1745247362334
read      234.3   110.3    74.4   117.3   128.7   226.7   275.2   297.1   312.3   329.1   348.7   378.7   435.9   534.5  2693.5  49779.8    50000  1745247363838  1745247369038
read      232.5   101.9    74.4   115.7   127.5   221.6   272.3   296.2   312.2   329.9   350.8   382.1   444.1   579.8  2908.8  54873.2    55000  1745247370542  1745247375742
read      231.8   104.7    74.4   115.6   127.3   217.5   269.7   295.2   312.5   331.6   354.4   387.7   455.1   587.9  3336.0  59968.0    60000  1745247377245  1745247382449
read      237.1   107.5    74.4   115.0   127.1   222.3   277.6   304.8   322.4   342.6   367.1   401.3   468.8   580.3  1875.7  65029.2    65000  1745247383953  1745247389153
read      234.8   100.5    74.4   115.1   127.0   217.8   272.2   300.7   319.5   340.6   366.3   401.8   470.1   569.5  1955.5  70311.4    70000  1745247390656  1745247395858
read      231.8   100.1    74.4   115.3   127.2   213.2   265.8   295.0   314.8   336.8   363.1   399.6   468.1   578.3  1609.7  74955.6    75000  1745247397362  1745247402562
read      231.5   111.3    74.4   113.3   124.9   212.2   265.0   294.3   314.3   337.1   364.6   402.5   475.3   594.2  3282.6  80050.8    80000  1745247404065  1745247409267
read      234.6   102.2    74.4   115.6   128.2   215.6   267.2   296.5   317.0   340.2   368.5   408.1   484.4   603.5  1923.8  84991.2    85000  1745247410770  1745247415972
read      238.0   112.9    74.4   115.9   129.0   219.5   270.8   299.7   319.8   343.2   371.8   412.8   491.8   641.8  2994.3  89919.6    90000  1745247417476  1745247422675
read      240.8   101.6    74.4   118.7   132.4   223.1   273.4   302.2   322.1   345.4   374.3   417.2   495.9   625.0  1630.8  95141.1    95000  1745247424179  1745247429380
read      235.9    99.7    74.4   117.8   130.9   217.5   266.4   294.3   314.7   338.3   367.6   409.1   490.4   619.9  1815.2 100106.8   100000  1745247430883  1745247436085
read      243.9   102.9    74.4   121.3   135.8   226.1   275.1   303.8   323.7   346.9   376.3   419.5   500.3   667.2  2211.3 105212.0   105000  1745247437589  1745247442791
read      252.6   102.8    74.4   126.0   141.5   236.2   285.9   314.0   334.2   357.4   386.1   428.0   508.8   649.4  1885.2 110101.4   110000  1745247444295  1745247449495
read      254.0   104.5    74.4   127.9   143.7   238.0   287.0   314.4   334.3   357.4   386.3   428.6   508.6   646.9  1975.0 114916.3   115000  1745247450998  1745247456199
read      255.0   109.9    74.4   130.3   146.5   238.9   287.0   313.9   333.2   355.6   384.0   425.9   508.2   672.4  2855.6 119875.8   120000  1745247457704  1745247462904
read      299.9   122.6    74.4   149.8   170.4   283.8   337.6   367.8   390.0   416.0   449.9   502.4   615.5   764.5  2868.9 124940.2   125000  1745247464407  1745247469607
read      384.8   169.1    74.4   183.4   213.9   353.1   422.5   472.7   512.8   557.6   609.4   675.3   781.0   942.7  4752.7 129829.3   130000  1745247471111  1745247476319
read      505.3   192.5   101.3   302.5   330.2   430.9   535.0   663.6   712.0   751.5   788.6   836.7   917.9  1063.0  3415.5 126655.9   135000  1745247477823  1745247483025
read      502.0   192.8   101.3   300.6   327.1   426.1   543.4   664.4   709.2   745.3   780.9   824.2   909.1  1133.7  4429.5 128356.5   140000  1745247484528  1745247489732
read      504.7   201.7   101.3   301.6   328.4   427.0   549.6   668.3   711.9   748.1   784.3   830.6   918.5  1162.8  6295.3 127543.9   145000  1745247491235  1745247496436
read      480.4   198.5   101.3   276.1   303.8   415.6   541.7   623.6   664.0   701.6   738.9   788.8   869.8  1040.8  4803.8 133698.9   150000  1745247497939  1745247503139
read      497.3   185.8    93.8   293.7   321.4   421.8   559.6   659.9   701.0   734.3   770.8   811.0   910.1  1092.9  3825.9 129777.4   155000  1745247504643  1745247509844
read      507.4   197.5   101.3   304.1   331.9   431.2   535.9   667.1   715.4   755.1   791.3   839.7   923.9  1091.9  4718.6 127386.8   160000  1745247511348  1745247516551
read      480.2   185.6   101.3   279.3   306.0   411.9   538.8   627.6   668.1   704.9   739.9   788.1   867.8  1070.2  4772.2 134536.7   165000  1745247518055  1745247523257
