Linux 6.8.0-1021-gcp (memcache-server-bzrm) 	04/24/25 	_x86_64_	(4 CPU)

12:28:05      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:28:06      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:07      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:08      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:09      110      5319    0.00    0.00    0.00    0.00    0.00     1  memcached
12:28:10      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:11      110      5319    1.00    0.00    0.00    0.00    1.00     0  memcached
12:28:12      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:13      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:14      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:15      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:16      110      5319    1.00    3.00    0.00    0.00    4.00     0  memcached
12:28:17      110      5319    1.00    5.00    0.00    0.00    6.00     0  memcached
12:28:18      110      5319    1.00    4.00    0.00    0.00    5.00     0  memcached
12:28:19      110      5319    1.00    5.00    0.00    0.00    6.00     0  memcached
12:28:20      110      5319    1.00    5.00    0.00    0.00    6.00     0  memcached
12:28:21      110      5319    0.00    2.00    0.00    0.00    2.00     0  memcached
12:28:22      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:28:23      110      5319    1.00    7.00    0.00    0.00    8.00     0  memcached
12:28:24      110      5319    2.00    8.00    0.00    0.00   10.00     0  memcached
12:28:25      110      5319    1.00    8.00    0.00    0.00    9.00     0  memcached
12:28:26      110      5319    2.00    9.00    0.00    0.00   11.00     0  memcached
12:28:27      110      5319    1.00    8.00    0.00    0.00    9.00     0  memcached
12:28:28      110      5319    1.00    2.00    0.00    0.00    3.00     0  memcached
12:28:29      110      5319    0.00    1.00    0.00    0.00    1.00     1  memcached
12:28:30      110      5319    2.00   12.00    0.00    0.00   14.00     1  memcached
12:28:31      110      5319    2.00   11.00    0.00    0.00   13.00     1  memcached
