#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      165.2   233.8    74.4   118.0   124.5   154.1   166.3   172.9   179.3   186.1   196.8   215.1   273.8   997.1 13454.4   4957.6     5000  1745493861848  1745493867111
read      173.4   173.6    74.4   115.2   125.4   165.7   180.7   188.9   195.9   203.3   215.1   233.9   301.9   966.0 12933.8   9965.2    10000  1745493868615  1745493873853
read      184.9    60.3    74.4   113.4   126.9   182.1   200.5   211.1   218.0   227.5   238.2   258.5   318.9   893.3  1961.8  14994.4    15000  1745493875358  1745493880556
read      188.0    66.9    68.9   109.2   121.1   186.0   207.4   218.4   226.9   235.5   249.2   270.4   327.1   650.1  2365.1  20120.4    20000  1745493882060  1745493887259
read      200.6    76.9    68.9   109.3   120.4   199.4   225.1   237.7   247.6   258.5   272.6   295.5   361.2   674.8  2021.4  24818.5    25000  1745493888763  1745493893965
read      197.1    91.4    68.9   103.7   114.4   196.8   224.3   237.3   247.0   257.7   272.2   295.1   347.7   465.5  2898.7  30181.9    30000  1745493895469  1745493900669
read      200.3    78.7    68.9   102.7   113.2   198.7   229.6   244.7   254.8   267.6   283.3   308.1   372.5   626.5  2838.4  34961.1    35000  1745493902173  1745493907375
read      202.0    79.8    63.8   100.4   110.6   199.9   234.0   250.6   262.4   275.2   292.8   317.7   373.7   531.1  2619.7  40030.4    40000  1745493908879  1745493914083
read      213.4   109.2    63.8   101.3   111.7   205.9   244.1   263.3   276.1   292.2   312.1   342.8   450.1  1450.5  2952.3  45104.0    45000  1745493915587  1745493920791
read      209.4    85.4    63.8   101.6   111.7   203.4   243.9   264.0   277.7   293.3   313.2   343.4   409.2   557.5  1885.8  50006.7    50000  1745493922295  1745493927499
read      216.9   108.8    63.8   100.6   111.1   207.0   250.7   273.7   289.7   307.4   328.5   361.7   447.7  1089.1  3389.4  55135.4    55000  1745493929002  1745493934203
read      216.3    91.0    68.9   100.6   111.0   206.3   251.8   275.9   292.8   311.2   333.8   368.0   447.7   665.6  1243.2  59939.2    60000  1745493935707  1745493940905
read      219.5    95.2    63.8   100.3   110.7   208.3   255.4   281.4   299.6   318.8   342.5   378.0   460.1   687.7  1760.1  64813.0    65000  1745493942408  1745493947608
read      221.1   114.2    68.9   100.2   110.4   205.9   254.8   281.9   301.0   321.3   346.6   386.5   481.6  1093.4  2918.2  70067.5    70000  1745493949112  1745493954313
read      221.1   101.6    63.8    99.5   109.8   206.3   257.5   286.2   305.7   326.9   353.1   392.2   471.3   697.7  1783.5  74932.2    75000  1745493955817  1745493961028
read      225.4   111.8    63.8    99.5   110.0   209.9   263.1   292.1   312.1   334.2   361.3   400.1   495.1   859.6  2699.8  80166.9    80000  1745493962531  1745493967732
read      220.8   101.4    68.9    99.7   109.9   202.1   256.6   287.6   308.7   331.9   360.1   399.9   486.2   626.1  1491.3  85048.3    85000  1745493969235  1745493974433
read      224.1   110.6    68.9   100.9   110.9   201.6   257.9   290.8   313.2   337.9   367.8   411.7   508.7   818.1  2622.1  89770.8    90000  1745493975936  1745493981136
read      228.0   111.8    63.8   101.0   111.4   205.0   263.8   297.9   321.1   346.5   377.7   422.5   518.8   694.8  2580.6  94823.0    95000  1745493982640  1745493987840
read      241.4   159.6    63.8   103.6   114.3   204.6   269.7   310.9   338.9   370.1   406.7   464.5   631.4  1536.4  5590.8 100196.1   100000  1745493989342  1745493994542
read      234.8   131.4    63.8   103.9   114.3   199.9   263.6   305.9   334.9   366.7   403.6   458.6   570.0   772.8  4088.9 105126.8   105000  1745493996046  1745494001246
read      238.0   126.1    63.8   105.2   116.1   201.4   265.5   309.2   340.1   373.7   412.7   469.1   593.9   828.1  2143.0 110272.4   110000  1745494002749  1745494007949
read      257.6   152.1    68.9   110.8   123.0   214.6   284.5   332.2   366.0   402.3   446.8   515.7   688.7  1262.4  3716.1 115017.0   115000  1745494009452  1745494014651
read      277.2   172.0    68.9   112.9   126.4   219.7   297.2   357.0   398.0   443.6   502.0   599.8   841.1  1438.2  2153.8 119580.4   120000  1745494016154  1745494021353
read      264.8   180.9    63.8   110.6   123.0   210.2   280.1   334.1   372.6   414.7   466.6   556.3   837.8  1807.5  3989.8 125080.6   125000  1745494022856  1745494028058
