Timestamp start: 1747094973162
Timestamp end: 1747096773491

##type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      188.3   225.8    74.4   118.2   128.4   173.6   194.3   207.4   218.0   231.5   249.6   278.7   359.6   859.8 11453.0   8142.5     8195
read      465.7   296.5    63.8   118.7   137.0   429.6   555.6   626.7   680.2   746.9   839.4   981.4  1307.3  1962.8  4980.8 158216.6   158594
read      267.8   142.8    63.8   120.0   135.9   236.8   292.9   327.2   354.4   388.8   435.6   516.9   710.4  1156.0  3014.5 149723.2   149766
read      196.9    84.6    68.9   119.9   132.0   185.6   210.2   226.1   237.8   252.2   270.3   297.3   374.9  1130.8  2484.7  10426.9    10382
read      322.6   228.8    63.8   121.4   138.4   259.6   335.6   389.1   433.5   494.4   582.4   737.0  1119.6  2464.9  3793.2 170619.6   170548
read      218.4   121.0    63.8   106.7   117.8   189.8   235.4   267.4   290.8   317.4   351.0   404.1   560.7  1094.5  2753.7 150576.4   150565
read      211.7   113.9    63.8   102.8   113.0   183.3   230.1   263.0   286.7   313.3   344.9   394.7   524.4  1030.9  2739.1 137092.9   137144
read      217.3   118.9    63.8   104.5   115.2   187.0   234.1   267.0   291.2   318.5   352.5   407.5   579.7  1157.4  2585.5 143395.3   143496
read      216.3   123.5    63.8   104.8   115.5   187.1   233.2   265.4   289.2   316.3   348.9   402.1   562.9  1150.3  3025.2 144816.5   144743
read      205.2   101.4    63.8    99.7   109.4   179.1   227.1   260.0   284.2   310.1   339.4   381.9   468.6   667.1  2105.9 116969.5   116745
read      210.1   111.0    63.8   102.3   112.3   182.5   229.6   262.6   286.9   313.4   344.0   391.1   501.6   907.6  2683.7 129325.9   129314
read      218.0   127.5    63.8   105.0   115.9   187.8   233.7   266.4   290.8   318.2   351.2   403.7   577.4  1373.9  2921.7 144695.0   144723
read      215.5   115.8    63.8   102.0   112.1   186.4   236.2   270.6   294.8   321.1   353.0   401.3   535.8  1192.3  2719.4 117300.1   117379
read      215.9   118.7    63.8   102.7   112.8   186.3   235.7   270.6   295.3   322.0   353.7   400.1   538.6  1187.9  2759.2 119973.0   119931
read      213.3   106.4    63.8   104.5   115.0   186.6   233.4   265.9   290.4   317.6   349.0   395.7   501.4   727.3  2488.6 132128.1   132052
read      217.8   105.4    63.8   107.5   118.4   190.8   236.5   269.0   293.8   321.5   355.3   403.3   524.6   806.1  2140.7 143425.1   143350
read      219.9   113.1    63.8   107.8   118.8   191.7   237.7   270.6   296.1   325.2   359.9   411.5   542.6   860.9  2415.3 143553.2   143518
read      274.2   177.9    63.8   121.5   136.9   226.7   283.1   321.3   353.5   395.7   457.4   577.2   940.0  1705.8  3558.4 173191.9   172981
read      217.3   138.0    63.8   100.9   111.0   190.2   243.7   276.1   299.8   325.7   356.6   401.4   518.3   934.6  3502.4  94079.6    94027
read      266.8   180.1    63.8   119.9   134.5   221.7   275.8   313.8   344.0   383.6   439.8   548.5   899.9  1729.7  3556.1 169918.8   170019
read      313.0   266.8    68.9   127.7   143.9   249.6   316.1   363.0   401.6   455.1   535.8   693.0  1224.0  2485.1  7478.3 179216.9   179090
read      267.6   250.8    63.8   103.5   116.7   234.1   296.5   331.8   355.2   381.8   418.2   479.8   860.7  2769.8 11175.9  47204.0    47130
read      246.3   245.5    63.8   111.4   127.8   221.4   259.8   282.8   302.3   323.8   350.7   399.5   910.8  2538.6 11373.9  19516.0    19439
read      275.7   271.8    63.8   107.1   118.6   204.9   269.8   315.8   350.1   392.9   462.8   640.6  1326.6  2985.3  7233.2 128859.3   128963
read      242.5   140.0    63.8   109.3   125.2   223.3   263.8   288.4   308.1   330.8   359.6   406.9   759.8  1486.6  3218.0  23766.8    23787
read      302.0   261.9    63.8   103.6   117.7   252.8   329.7   369.8   397.5   431.9   478.5   574.9  1369.7  3071.4  7039.4  61801.3    61848
read      280.5   263.4    63.8   103.9   114.9   212.1   281.9   327.3   361.5   402.7   474.0   659.3  1337.1  2988.2  5631.3 102095.0   101968
read      220.8   132.5    63.8   102.3   112.3   190.4   244.0   276.6   301.7   332.2   367.5   416.5   541.4  1283.3  3707.2 108645.8   108767
read      219.4   120.1    63.8   101.3   111.1   191.2   246.0   277.8   302.3   331.6   365.5   410.8   521.2  1113.5  2728.6  97236.1    97139
read      244.1   145.4    63.8   113.5   126.7   207.2   257.8   292.8   320.9   355.8   399.4   475.2   736.8  1410.9  3250.9 158467.5   158594
read      222.8   136.2    68.9   106.9   117.8   190.9   237.5   269.7   295.0   326.5   365.1   420.7   596.4  1423.0  3694.0 141330.4   141240
read      242.0   137.9    68.9   103.7   116.4   227.7   277.6   307.0   328.5   350.9   377.0   416.0   507.1  1332.3  4534.0  41452.3    41405
read      251.7   159.0    63.8   100.3   112.5   230.8   293.2   329.6   352.3   376.2   403.2   446.4   548.7  1797.1  4718.8  57931.6    57997
read      261.9   207.2    63.8   105.7   116.9   201.8   266.7   312.3   347.3   391.4   463.6   622.7  1002.7  1705.9  3896.7 133597.7   133577
read      241.2   120.1    63.8   101.0   112.9   224.9   280.5   314.0   337.0   361.6   389.8   429.4   515.5  1108.6  2688.7  53823.2    53832
read      252.2   195.3    63.8   107.7   119.1   199.7   255.1   293.5   323.7   360.8   410.1   541.0  1074.5  2033.2  3712.9 139886.3   139832
read      242.1   138.9    68.9   116.6   130.0   210.3   258.8   291.3   316.8   347.9   389.4   457.7   661.1  1225.2  3457.6 170591.1   170515
read      213.4   123.0    63.8   102.7   112.7   184.1   231.8   263.2   286.4   314.7   350.4   399.7   529.9  1350.2  3093.8 128366.2   128494
read      226.1   144.2    63.8   108.6   123.4   211.1   244.6   263.6   276.7   294.7   322.0   365.2   592.9  1877.1  4323.9  20803.4    20789
read      288.8   245.2    63.8   100.5   113.9   242.3   316.9   357.5   384.2   415.0   458.1   540.4  1332.5  2903.5  4888.3  63605.2    63647
read      287.3   226.6    63.8   101.1   114.7   243.1   317.3   358.4   385.5   416.6   459.6   541.8  1271.8  2711.9  3753.9  64786.5    64802
read      275.7   227.1    63.8    99.1   111.8   237.5   306.7   345.7   370.6   398.2   435.2   502.9  1101.3  2827.8  5112.7  55600.9    55719
read      352.0   336.1    68.9   123.0   138.6   258.3   343.3   402.2   452.9   522.8   635.7   868.2  1731.2  3424.4  7058.6 174178.0   174179
read      212.7   115.0    63.8   101.3   111.0   185.6   235.6   266.9   288.9   315.6   349.8   397.6   504.4  1063.3  2932.5 106423.6   106356
read      277.7   186.3    68.9   121.4   136.8   231.0   289.9   329.4   361.1   400.7   459.6   571.4   937.8  1872.3  4207.1 178513.3   178750
read      213.0   120.7    63.8   100.1   109.7   185.0   236.6   268.1   290.0   317.1   352.0   399.8   508.5  1242.0  2742.3 105910.3   105831
read      214.4   125.9    63.8   100.4   110.0   184.7   236.6   268.5   290.6   317.8   352.8   400.8   534.6  1451.1  3002.8 110661.6   110667
read      191.5    96.1    68.9   112.2   122.8   179.4   204.4   217.9   228.1   240.0   256.6   286.1   432.9  1250.0  2497.0   8793.2     8803
read      256.5   164.1    63.8   100.2   113.3   231.7   289.9   325.5   349.2   374.3   404.8   458.5   752.9  1810.3  3703.9  45655.7    45662
read      242.4   241.1    68.9   102.5   116.2   220.4   265.5   289.8   309.6   334.9   364.8   411.4   703.6  1812.7 11373.1  30830.2    30867
read      257.8   217.7    63.8    99.9   113.0   230.3   287.9   322.6   346.6   372.6   403.2   458.5   804.3  2268.8 11110.2  45663.0    45656
read      306.3   355.8    63.8   102.0   112.5   209.1   284.1   334.0   374.3   430.5   544.7   821.3  1787.9  3912.0  7672.1 101079.3   100938
read      216.3   150.7    63.8   103.4   113.6   185.2   233.0   264.9   288.4   316.9   354.0   405.2   555.0  1476.0  3378.6 132437.2   132360
read      239.9   194.7    63.8    99.2   109.6   206.2   262.0   293.0   318.4   348.4   383.2   433.0   738.3  2559.1  3467.2  67510.3    67591
read      244.1   162.7    63.8   102.6   116.2   224.6   272.7   297.6   320.3   344.6   373.6   421.4   649.7  1798.0  5043.1  33879.3    33910
read      278.4   277.6    63.8   100.9   112.2   217.3   284.3   328.6   361.6   397.9   448.7   566.1  1517.2  3098.8  7375.5  85819.4    85729
read      209.0   118.8    63.8   113.8   127.8   195.8   224.2   239.1   250.9   265.4   284.4   319.6   497.9  1700.6  3060.7  12864.0    12884
read      257.4   172.6    63.8   100.3   113.1   232.2   289.6   323.9   348.8   374.1   404.3   457.7   766.2  2171.7  4065.3  45565.8    45621
read      248.1   190.6    63.8   101.4   114.1   226.9   277.1   305.3   328.1   353.6   383.7   431.6   682.5  1702.2  9299.6  36860.0    36938
read      252.4   179.7    63.8    98.7   110.4   227.1   286.6   320.8   346.7   373.8   404.7   454.8   670.5  2197.9  4652.3  56853.7    56902
read      253.5   224.8    63.8   101.1   111.4   200.6   263.4   300.0   330.0   367.1   416.5   526.6  1101.7  2850.7  4561.7 102328.1   102243
read      208.4   233.7    68.9   109.5   122.1   192.7   221.3   235.4   247.3   260.9   278.2   311.6   453.3  2658.9 11555.6  14010.2    14085
read      285.1   311.3    63.8   101.3   112.5   217.0   286.2   332.0   367.3   408.4   469.7   608.4  1534.1  3362.6  7815.3  94085.8    94103
read      255.9   185.2    63.8    98.2   110.2   224.4   284.9   320.0   346.6   375.3   410.0   469.8   860.4  2445.4  3692.9  58042.0    58175
read      288.2   302.5    63.8   110.6   122.3   205.0   268.0   313.5   351.1   401.4   496.2   742.7  1500.9  3103.1  7350.6 151292.7   151312
read      236.5   216.5    63.8    98.7   108.8   197.2   252.9   285.1   309.3   340.2   378.5   435.6   829.3  2661.3  6949.6  83384.8    83333
read      259.2   248.4    63.8   113.9   127.4   210.8   263.9   298.9   327.2   362.5   410.8   508.7   969.5  2989.4  6140.2 165046.7   165153
read      224.4   161.3    63.8   103.1   113.5   189.7   240.7   272.9   295.9   324.0   362.5   424.1   671.1  1987.0  4455.0 124247.6   123975
