ubuntu@client-measure-rdtc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 --loadonly && ./mcperf -s 10.0.16.5 -a 10.0.16.3 --noload -T 8 -C 8 -D 4 -Q 1000 -c 8 -t 1800  --qps_interval 10 --qps_min 5000 --qps_max 180000 --qps_seed 2333
Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1747001616379
Timestamp end: 1747003416704

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      171.0    56.7    74.4   120.2   131.4   167.5   180.9   187.9   194.2   200.6   210.5   225.4   265.0   677.7  2032.3   8211.7     8195
read      197.7   102.7    63.8   103.3   112.9   173.0   211.8   237.7   259.3   284.8   316.0   364.0   470.9   732.2  3015.8 158527.9   158594
read      195.1    94.8    68.9   101.5   110.6   170.4   209.7   236.0   257.9   283.6   315.2   362.9   465.7   695.3  2160.2 149857.8   149766
read      176.8    64.6    68.9   114.4   127.8   171.3   188.0   198.0   205.0   214.1   225.9   244.9   299.1   922.6  1976.1  10415.7    10382
read      248.8   180.8    63.8   107.2   118.4   197.3   251.6   289.6   319.5   361.6   430.2   571.0   922.2  1589.2  3136.9 170456.5   170548
read      196.6   103.5    68.9    99.8   109.1   170.3   210.9   238.2   260.3   285.9   317.0   365.9   498.5   920.5  2542.6 150684.6   150565
read      193.8   104.9    63.8    97.9   106.5   167.5   209.4   237.1   259.3   284.2   314.1   359.4   477.1   942.8  2796.5 137039.5   137144
read      196.3   107.5    63.8    98.9   107.9   169.3   211.3   239.2   261.4   286.7   317.2   365.2   497.3  1014.6  2841.9 143376.6   143496
read      195.2   109.3    63.8    98.9   107.8   168.2   209.1   236.1   258.3   283.7   314.3   361.9   494.8  1115.0  2739.8 144685.4   144743
read      190.9   100.9    63.8    97.2   105.2   166.7   211.3   239.8   261.0   284.0   310.7   347.8   429.2   612.2  2689.8 116693.5   116745
read      191.3   109.6    63.8    96.5   104.6   164.8   207.6   235.8   257.7   281.8   310.6   352.5   455.9  1040.5  3156.7 129306.6   129314
read      193.9   110.6    63.8    98.6   107.4   167.4   207.7   234.8   256.5   281.5   311.8   357.7   481.6  1098.2  2899.2 144744.5   144723
read      195.5   114.3    63.8    96.9   105.1   168.9   215.3   244.3   265.6   289.0   316.8   358.9   464.8  1061.1  3801.3 117442.7   117379
