Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      200.8    71.1    63.8   118.2   135.5   196.6   219.2   232.4   241.6   251.7   265.2   285.6   337.7   539.1  3735.4   8247.6     8195
read      478.7   302.0    63.8   114.5   129.4   454.6   577.0   644.4   695.8   761.2   847.8   991.2  1355.9  2085.4  4275.9 158435.0   158594
read      456.2   318.5    59.1   113.5   127.3   410.0   543.5   618.2   674.4   745.3   841.1   999.8  1424.2  2304.6  6492.9 150031.4   149766
read      211.4   143.5    54.7   106.1   118.7   191.4   221.1   238.5   251.8   268.9   295.1   364.7   661.5  1563.7  5105.2  10376.8    10382
read      380.3   274.8    59.1   121.7   137.9   303.6   426.6   501.9   559.1   628.9   725.9   895.1  1274.6  2173.8  3754.1 170140.4   170548
read      225.4   115.5    59.1   110.0   121.3   198.5   248.2   280.0   304.0   331.3   363.5   410.5   538.5  1007.5  3105.4 150938.0   150565
read      220.1   141.8    54.7   104.2   114.2   184.7   236.4   271.1   295.9   323.3   356.8   409.6   656.1  1577.4  3850.4 137336.0   137144
read      224.5   171.4    59.1   105.0   115.2   185.6   235.9   270.5   295.8   324.4   359.9   418.0   724.8  2164.6  4701.1 143378.2   143496
read      231.5   177.1    59.1   105.6   116.0   188.3   241.5   277.4   304.1   333.9   371.2   443.4   826.0  2426.8  4372.4 144733.0   144743
read      216.7   134.1    54.7   100.9   110.1   183.1   239.4   273.5   297.0   322.8   354.6   403.1   594.2  1506.4  3516.9 116688.6   116745
read      222.8   152.7    59.1   102.3   111.8   182.7   237.6   273.5   298.7   327.2   363.2   429.4   762.1  1556.5  3736.1 129215.8   129314
read      224.2   169.1    59.1   104.9   115.1   185.5   235.7   270.3   296.1   325.3   360.5   420.3   736.5  2251.6  5071.4 144496.0   144723
read      220.8   151.3    54.7   100.8   110.1   184.2   242.6   277.0   300.9   327.2   360.1   415.2   659.7  1726.0  4092.7 117091.6   117379
read      215.2   132.5    54.7   100.8   110.1   181.5   237.4   271.8   295.1   320.7   352.1   400.0   577.6  1470.2  3564.8 120041.0   119931
read      222.1   156.4    54.7   102.4   112.0   182.4   236.1   272.0   297.5   325.8   361.0   421.9   751.8  1834.1  3741.3 132108.0   132052
read      231.0   190.6    54.7   104.9   115.2   186.8   240.4   276.0   302.9   332.8   369.9   439.0   864.1  2422.3  4252.7 143322.6   143350
read      223.6   157.4    59.1   104.5   114.7   185.9   237.5   272.2   297.9   326.5   361.5   420.3   698.4  1969.9  4796.0 143641.6   143518
read      266.5   200.3    54.7   114.8   128.4   215.2   276.5   317.4   347.3   383.7   433.9   548.4  1024.9  2274.8  4326.8 173150.0   172981
