Linux 6.8.0-1021-gcp (memcache-server-bzrm) 	04/24/25 	_x86_64_	(4 CPU)

12:34:06      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:34:07      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:08      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:09      110      5319    1.00    0.00    0.00    0.00    1.00     0  memcached
12:34:10      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:11      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:12      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:13      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:14      110      5319    1.00    3.00    0.00    0.00    4.00     0  memcached
12:34:15      110      5319    1.00    6.00    0.00    0.00    7.00     0  memcached
12:34:16      110      5319    1.00    5.00    0.00    0.00    6.00     0  memcached
12:34:17      110      5319    1.00    6.00    0.00    0.00    7.00     0  memcached
12:34:18      110      5319    1.00    5.00    0.00    0.00    6.00     0  memcached
12:34:19      110      5319    1.00    2.00    0.00    0.00    3.00     0  memcached
12:34:20      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:21      110      5319    1.00    8.00    0.00    0.00    9.00     0  memcached
12:34:22      110      5319    1.00    8.00    0.00    0.00    9.00     0  memcached
12:34:23      110      5319    2.00    9.00    0.00    0.00   11.00     0  memcached
12:34:24      110      5319    1.00    8.00    0.00    0.00    9.00     0  memcached
12:34:25      110      5319    2.00    8.00    0.00    0.00   10.00     0  memcached
12:34:26      110      5319    0.00    2.00    0.00    0.00    2.00     0  memcached
12:34:27      110      5319    1.00    2.00    0.00    0.00    3.00     0  memcached
12:34:28      110      5319    2.00   11.00    0.00    0.00   13.00     0  memcached
12:34:29      110      5319    2.00   11.00    0.00    0.00   13.00     0  memcached
12:34:30      110      5319    2.00   12.00    0.00    0.00   14.00     0  memcached
12:34:31      110      5319    2.00   11.00    0.00    0.00   13.00     0  memcached
12:34:32      110      5319    2.00   10.00    0.00    0.00   12.00     0  memcached
12:34:33      110      5319    0.00    0.00    0.00    0.00    0.00     0  memcached
12:34:34      110      5319    1.00    8.00    0.00    1.00    9.00     0  memcached
12:34:35      110      5319    3.00   15.00    0.00    0.00   18.00     0  memcached
12:34:36      110      5319    3.00   15.00    0.00    0.00   18.00     0  memcached
12:34:37      110      5319    2.00   15.00    0.00    0.00   17.00     0  memcached
12:34:38      110      5319    3.00   16.00    0.00    0.00   19.00     0  memcached
12:34:39      110      5319    2.00    8.00    0.00    0.00   10.00     1  memcached
12:34:40      110      5319    0.00    0.00    0.00    0.00    0.00     1  memcached
12:34:41      110      5319    2.00   15.00    0.00    0.00   17.00     1  memcached
12:34:42      110      5319    4.00   18.00    0.00    0.00   22.00     1  memcached
12:34:43      110      5319    4.00   19.00    0.00    0.00   23.00     1  memcached
12:34:44      110      5319    3.00   18.00    0.00    0.00   21.00     1  memcached
