#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      164.2   114.8    74.4   115.0   122.0   152.3   165.0   172.4   179.0   186.3   198.5   219.6   352.0  1728.4  4345.3   4958.6     5000  1745498053758  1745498059010
read      167.0    87.9    74.4   115.1   124.6   160.2   173.3   181.5   186.8   195.2   205.7   226.4   298.1   867.1  3111.7  10026.6    10000  1745498060514  1745498065748
read      172.7    64.7    74.4   113.5   124.7   169.0   183.6   192.0   198.2   205.7   216.0   233.4   291.7   846.4  1739.7  15013.8    15000  1745498067252  1745498072450
read      184.6    85.9    74.4   111.6   123.5   180.2   197.5   207.0   213.9   222.1   233.0   253.3   353.2  1071.3  3771.2  19943.4    20000  1745498073955  1745498079152
read      185.7    56.4    68.9   109.3   119.9   187.0   204.8   214.3   221.0   229.4   239.6   257.8   313.7   594.6  1267.8  24993.2    25000  1745498080656  1745498085853
read      192.7    95.8    68.9   107.6   118.2   191.3   212.0   222.3   229.4   236.7   249.4   270.0   367.3  1507.2  3542.6  30143.6    30000  1745498087356  1745498092556
read      192.2    93.2    63.8   105.7   116.2   195.5   217.1   227.5   234.0   243.2   253.5   271.8   321.0   511.9  5204.7  34893.6    35000  1745498094061  1745498099262
read      198.4    87.7    68.9   104.9   115.4   198.5   224.4   235.6   244.7   254.0   267.9   290.2   383.6  1160.5  2445.9  40094.0    40000  1745498100765  1745498105963
read      197.7   111.2    63.8   103.8   114.3   200.8   227.2   238.9   247.4   256.4   269.3   289.3   345.4   632.3  3627.4  45149.0    45000  1745498107466  1745498112663
read      204.4   114.8    63.8   102.8   113.0   200.9   231.4   245.3   254.3   266.0   280.0   307.0   464.3  1751.7  3453.7  50004.2    50000  1745498114167  1745498119366
read      199.8    85.7    63.8   103.6   113.9   196.6   229.9   244.1   253.5   265.2   279.0   303.8   405.3  1001.7  2411.5  54993.6    55000  1745498120869  1745498126069
read      195.8    83.8    63.8   100.2   110.2   193.2   229.0   244.0   253.7   265.5   279.2   301.9   370.6   648.4  3175.0  59910.9    60000  1745498127574  1745498132769
read      201.8   112.6    63.8   102.3   112.1   191.2   230.9   247.5   258.5   270.5   286.7   313.6   443.6  1716.6  3391.9  64815.2    65000  1745498134273  1745498139471
read      198.1    87.8    68.9    99.1   108.8   191.3   234.4   251.5   262.5   273.7   289.1   312.4   382.0   821.5  2654.6  70215.0    70000  1745498140975  1745498146175
read      206.4   125.8    68.9    98.9   108.5   191.1   238.5   258.1   270.4   284.8   302.8   335.5   494.2  1670.5  4081.2  74993.8    75000  1745498147678  1745498152874
read      196.8    94.8    63.8    99.1   108.4   183.3   231.5   251.4   263.9   276.6   293.0   317.5   393.3   848.5  3272.5  79817.0    80000  1745498154378  1745498159576
read      214.3   215.3    63.8    99.1   108.6   184.3   235.2   259.4   274.3   291.9   315.0   364.1   710.5  2417.2  9567.1  85225.2    85000  1745498161080  1745498166278
read      196.0    90.4    63.8    98.0   107.3   181.5   231.3   254.3   267.8   282.2   297.9   322.3   390.6   547.0  1723.0  89947.0    90000  1745498167781  1745498172981
read      199.0   113.0    63.8    98.4   107.7   179.8   228.4   251.8   265.7   280.5   298.0   328.3   455.3  1331.9  3858.0  94998.6    95000  1745498174485  1745498179686
read      195.2    84.2    63.8    99.0   108.2   177.3   225.8   250.9   266.1   281.9   300.2   329.3   413.8   668.8  1549.2  99907.8   100000  1745498181189  1745498186389
read      198.5   102.9    63.8    99.2   108.6   178.1   226.6   252.6   268.7   285.8   305.7   336.4   429.0  1116.6  3119.9 105133.8   105000  1745498187893  1745498193091
