#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      195.2    68.5    86.8   137.9   148.3   188.7   205.4   214.9   222.0   230.8   243.0   264.8   327.0   687.9  3119.2   4943.4     5000  1745080363705  1745080368976
read      208.3   180.2    80.4   132.2   148.9   201.2   219.9   230.5   237.6   247.8   260.3   280.5   334.4   976.2 10455.3  10026.4    10000  1745080370482  1745080375718
read      205.7    81.1    74.4   122.5   138.0   202.0   224.1   235.4   245.0   255.0   270.0   293.0   351.3   726.7  3413.2  15000.0    15000  1745080377222  1745080382423
read      226.8    89.0    74.4   119.9   136.0   226.1   253.6   268.3   278.4   290.7   306.6   331.3   389.8   693.7  2733.8  19990.0    20000  1745080383927  1745080389129
read      232.0    93.3    74.4   114.4   128.7   232.3   265.1   281.7   293.3   307.3   323.5   350.1   410.3   648.7  3919.2  25094.6    25000  1745080390633  1745080395831
read      233.7    92.1    74.4   115.4   128.7   232.5   269.0   287.7   300.4   315.4   334.5   363.1   426.6   687.4  2144.4  30074.2    30000  1745080397336  1745080402535
read      235.7    86.0    74.4   115.0   127.5   234.3   275.0   295.2   309.2   324.2   343.3   371.2   431.1   566.9  1042.6  34838.2    35000  1745080404040  1745080409244
read      238.3   181.3    68.9   112.8   125.0   231.9   274.9   296.2   311.8   329.3   350.7   384.4   454.0   695.9 10769.6  40068.1    40000  1745080410748  1745080415948
read      237.4   143.1    74.4   111.9   124.2   229.9   275.3   298.3   314.6   333.1   355.8   389.8   460.9   831.2  5175.4  45097.0    45000  1745080417452  1745080422656
read      237.0    96.0    74.4   112.2   124.7   226.5   275.2   300.2   318.0   338.9   364.4   400.6   476.1   652.0  1617.8  49928.3    50000  1745080424160  1745080429361
read      246.7   166.5    74.4   112.5   125.4   232.8   286.6   314.1   333.4   355.4   382.2   421.3   500.6   686.7 10922.4  54943.0    55000  1745080430865  1745080436064
read      251.3   121.0    74.4   112.9   126.7   235.9   292.1   321.1   341.8   365.4   394.0   434.9   519.9   841.7  2942.0  59896.8    60000  1745080437568  1745080442767
read      249.6   186.4    68.9   113.6   127.9   233.5   285.1   313.1   333.7   357.6   386.8   429.0   511.4   854.4 11396.7  64822.8    65000  1745080444270  1745080449471
read      249.0   131.8    68.9   112.5   126.8   233.2   286.2   315.8   337.0   361.6   391.8   435.1   522.5   708.3  2036.8  70003.0    70000  1745080450975  1745080456174
read      255.1   117.1    74.4   116.3   131.1   236.4   290.6   320.5   342.6   368.7   400.2   449.7   548.5   966.8  2656.1  75049.8    75000  1745080457678  1745080462879
read      253.1   118.7    74.4   115.9   131.2   235.3   288.5   318.5   340.8   367.3   398.9   445.9   536.1   690.8  2290.2  79943.6    80000  1745080464383  1745080469583
