#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      185.4    84.9    68.9   112.9   124.8   175.9   200.3   216.1   227.7   240.6   256.4   278.9   325.6   481.2  4110.4  29808.2    30000  1745769429275  1745769439421
read      188.1    77.8    68.9   117.3   128.5   178.6   202.6   218.2   229.6   242.6   258.7   282.7   332.9   516.5  2964.1  30032.2    30005  1745769440930  1745769451059
read      198.4   100.2    74.4   117.6   129.6   185.7   212.8   229.1   241.0   254.8   272.6   299.8   387.9  1121.5  4150.5  29916.7    30010  1745769452570  1745769462666
read      200.9   129.9    74.4   118.3   129.3   184.2   211.6   228.4   240.7   255.2   273.6   302.9   399.7  1925.4  4692.6  29964.6    30015  1745769464176  1745769474275
read      195.0   136.7    74.4   118.2   128.4   177.0   201.7   218.1   230.7   246.0   265.7   294.1   393.8  2223.1  4616.8  29891.2    30020  1745769475785  1745769485884
read      201.3   175.0    74.4   116.3   127.3   179.3   207.5   225.7   238.9   254.5   273.8   304.8   419.1  2894.0  6182.8  30006.9    30025  1745769487393  1745769497492
read      189.6   144.4    80.4   116.0   125.5   172.9   197.3   213.2   225.1   238.6   257.1   284.6   358.5  2289.1  5539.0  30000.9    30030  1745769499002  1745769509104
read      194.0   147.6    74.4   117.1   127.2   175.9   201.2   217.8   230.4   245.5   264.7   292.6   374.0  2709.3  5034.9  29954.6    30035  1745769510613  1745769520711
read      192.4   166.8    74.4   114.7   125.6   173.3   198.1   214.4   226.6   240.9   259.8   287.8   374.5  2534.7  6249.5  30086.2    30040  1745769522221  1745769532318
read      192.6   133.8    74.4   115.5   126.5   175.9   201.3   218.2   230.9   245.8   264.8   293.0   370.0  2085.5  4453.8  30037.2    30045  1745769533829  1745769543929
read      194.3   152.3    74.4   117.5   127.7   176.9   202.2   219.0   231.4   246.5   265.4   292.4   362.4  2522.4  5435.2  30090.4    30050  1745769545439  1745769555537
read      193.8   134.7    80.4   117.3   127.6   177.0   202.7   220.0   232.4   247.1   265.6   292.9   366.0  2351.5  4368.6  30000.3    30055  1745769557047  1745769567149
read      197.2   163.3    80.4   117.0   127.3   177.4   203.6   221.0   233.6   248.8   267.8   295.9   390.8  2934.9  6001.4  29974.5    30060  1745769568659  1745769578757
read      192.1   120.2    74.4   116.8   126.9   176.7   201.8   218.3   230.9   246.0   264.9   291.9   364.0  1906.3  4206.4  30035.9    30065  1745769580266  1745769590364
read      195.5   129.7    74.4   116.5   127.3   177.9   204.8   222.4   235.3   251.3   270.7   298.3   383.2  2301.1  4146.5  30012.8    30070  1745769591873  1745769601972
read      195.0   115.0    68.9   117.3   128.7   180.2   206.0   222.4   234.2   249.2   267.4   294.4   388.1  1708.2  3866.3  30084.5    30075  1745769603481  1745769613581
read      186.5    72.0    74.4   116.8   128.4   176.3   200.0   215.5   226.9   239.9   256.6   281.0   330.5   632.7  2771.2  29995.3    30080  1745769615089  1745769625189
read      193.8    79.5    74.4   118.8   129.9   184.3   211.0   226.5   237.1   250.7   267.2   291.3   343.0   615.4  3827.2  30052.0    30085  1745769626698  1745769636801
read      187.7    84.6    63.8   111.8   123.7   177.6   204.0   220.4   232.1   245.8   262.4   286.4   336.4   642.3  3822.5  30084.8    30090  1745769638310  1745769648418
read      194.3    92.3    68.9   117.6   130.0   184.2   210.7   226.4   237.2   250.8   267.7   292.4   345.2   829.5  3231.9  30013.4    30095  1745769649927  1745769660027
read      186.7    77.7    68.9   112.8   125.4   177.2   201.5   217.2   228.9   242.2   258.5   282.3   333.6   686.9  3020.4  30077.3    30100  1745769661537  1745769671644
read      192.1    82.9    74.4   118.0   129.0   182.5   208.5   224.5   235.5   249.3   265.8   289.3   339.0   544.5  3398.4  30143.7    30105  1745769673152  1745769683251
read      191.3    80.0    68.9   114.5   126.6   181.8   208.2   224.5   235.5   249.5   266.0   289.6   340.1   673.1  3215.2  30064.7    30110  1745769684762  1745769694860
read      188.9    76.4    74.4   115.3   127.3   179.6   204.2   219.9   231.2   244.6   261.0   284.6   335.8   598.5  3054.0  29976.1    30115  1745769696370  1745769706470
read      190.0    88.3    74.4   114.8   126.8   180.1   205.8   221.8   233.0   246.7   263.3   286.9   338.4   606.6  4121.4  30166.3    30120  1745769707980  1745769718079
read      192.5    84.4    74.4   118.3   129.7   182.3   208.0   223.8   234.8   248.6   265.2   289.6   342.8   699.2  3894.0  30122.2    30125  1745769719587  1745769729689
read      190.8   115.3    68.9   117.4   128.9   180.0   204.9   220.6   232.0   245.7   262.5   287.1   340.2   712.4  5296.0  30186.1    30130  1745769731198  1745769741297
read      187.0    68.0    68.9   113.9   125.8   177.9   202.5   218.2   229.6   242.9   259.5   283.1   330.6   534.5  2457.4  30134.9    30135  1745769742807  1745769752906
read      188.1    81.3    63.8   112.6   124.4   178.4   203.8   220.2   231.7   245.6   262.6   286.7   337.3   618.6  3105.8  30084.4    30140  1745769754415  1745769764513
read      187.9    80.9    68.9   113.4   126.0   178.2   202.7   218.7   230.1   243.4   259.8   284.0   333.3   787.6  3142.5  30115.7    30145  1745769766022  1745769776121
read      194.2    75.2    74.4   116.8   129.2   184.1   211.4   227.3   238.6   252.4   269.5   294.6   353.2   690.6  2879.4  30067.6    30150  1745769777630  1745769787728
read      190.7    78.6    68.9   113.9   126.9   181.0   207.6   223.9   235.0   248.8   265.6   290.5   342.5   553.0  3524.7  30149.6    30155  1745769789237  1745769799336
read      192.0    86.5    68.9   114.6   126.2   181.7   208.9   225.2   236.3   250.6   267.7   292.4   346.9   758.5  4062.9  30173.7    30160  1745769800845  1745769810943
read      193.2    85.0    74.4   121.9   132.2   183.5   208.7   223.9   234.3   247.6   264.0   288.3   340.6   610.7  3805.1  30184.8    30165  1745769812452  1745769822551
read      192.0    83.7    74.4   117.5   129.0   182.2   208.1   223.8   234.7   248.8   265.9   290.8   342.4   574.4  3758.1  30214.0    30170  1745769824060  1745769834160
